Unnamed: 0,acc_Acceleration x (m/s^2),acc_Acceleration y (m/s^2),acc_Acceleration z (m/s^2),gyr_Gyroscope x (rad/s),gyr_Gyroscope y (rad/s),gyr_Gyroscope z (rad/s),lin_acc_Linear Acceleration x (m/s^2),lin_acc_Linear Acceleration y (m/s^2),lin_acc_Linear Acceleration z (m/s^2),acc_magnitude,gyr_magnitude,lin_acc_magnitude,filtered_acc_magnitude,average_acc_Acceleration x (m/s^2),average_acc_Acceleration y (m/s^2),average_acc_Acceleration z (m/s^2),average_gyr_Gyroscope x (rad/s),average_gyr_Gyroscope y (rad/s),average_gyr_Gyroscope z (rad/s),average_lin_acc_Linear Acceleration x (m/s^2),average_lin_acc_Linear Acceleration y (m/s^2),average_lin_acc_Linear Acceleration z (m/s^2),average_acc_magnitude,average_gyr_magnitude,average_lin_acc_magnitude,average_filtered_acc_magnitude,activity
1970-01-01 00:00:00.000,2.176870346,4.746761799,8.090133667,-0.3542914092999999,0.3119902313,-0.3994941114999999,,,,9.629162727343783,0.618430151475154,,9.61575393280596,2.176870346,4.746761799,8.090133667,-0.3542914092999999,0.3119902313,-0.3994941114999999,,,,9.629162727343783,0.618430151475154,,9.61575393280596,walking
1970-01-01 00:00:00.100,1.8858433965,4.594817638,7.635347604500001,-0.2667111754,-0.183635950795,-0.31848049165000003,-0.10879594086,-0.063081979735,-0.24353480335,9.108638069664556,0.4541881075823749,0.27408957177831983,9.466238487899181,2.03135687125,4.6707897185,7.862740635750001,-0.31050129234999996,0.06417714025249999,-0.358987301575,-0.10879594086,-0.063081979735,-0.24353480335,9.36890039850417,0.5363091295287644,0.27408957177831983,9.54099621035257,walking
1970-01-01 00:00:00.200,2.6318057775000003,4.4536411760000005,8.0089268685,-0.47943873705,-0.7372162938,-0.56190311905,0.4929021597,0.14213180539999998,0.3151850699,9.534371031170659,1.0435921050038781,0.6020760894032046,9.343882337648393,2.231506506666667,4.598406871000001,7.91146938,-0.36681377391666664,-0.20295400443166667,-0.4266259074,0.19205310942,0.03952491283249999,0.035825133275000004,9.424057276059665,0.7054034546871356,0.4380828305907622,9.475291586117846,walking
1970-01-01 00:00:00.300,1.9170996545,3.8539398910000005,9.155537605,-0.2512872964,-0.88687384125,-0.12751436604,-0.9942974449,-0.357005834565,0.64426803595,10.116916160831533,0.9305645754981944,1.237401259493052,9.286731746366806,2.152904793625,4.412290126,8.22248643625,-0.33793215453750003,-0.37393396363625,-0.35184802206,-0.20339707535333332,-0.09265200296666669,0.23863943416666666,9.597271997252633,0.7616937348899003,0.7045223068915254,9.428151626180085,walking
1970-01-01 00:00:00.400,3.9006000760000004,4.8978087905,8.622984886000001,0.39582901445,-1.2817102070000002,0.03649812565,0.17094635963500002,0.1785681248,0.72720766065,10.656410288900044,1.341936576960478,0.7680756569343236,9.348556069726698,2.5024438500999997,4.5093938589,8.302586126200001,-0.19117992074,-0.5554892123090001,-0.274178792518,-0.10981121660624998,-0.02484697102500001,0.3607814907875,9.809099655582116,0.8777423033040158,0.7204106444022249,9.412232514889407,walking
1970-01-01 00:00:00.500,4.3063330650000005,4.331457734000002,7.9429745675,-0.10216420773699997,-0.43232715130000005,0.22265382115,0.2810835838000001,0.40440082549999995,0.07169985780000004,10.019824127602867,0.4969094637520986,0.4976835122399308,9.582243624611268,2.803092052583333,4.4797378380833335,8.242650866416668,-0.17634396857283333,-0.5349622021408333,-0.19137335690666665,-0.03163225652499997,0.06100258827999998,0.30296516419,9.844220400918909,0.8142701633786963,0.6758652179697661,9.44056769984305,walking
1970-01-01 00:00:00.600,5.202893734,4.7002514600000005,6.991229296,0.8090671897,-1.3219498096,-0.53189524635,0.2500134707,0.19767475105,-0.16988587375000005,9.901502616460657,1.6386133069276165,0.3611692855627956,10.009741343086365,3.1459208642142857,4.511239784071429,8.063876356357143,-0.03557094596242857,-0.6473890032064286,-0.2400193411128571,0.01530869801250003,0.08378128207499998,0.2241566578666667,9.85240357456773,0.9320334695999707,0.6234158959019377,9.52187822030638,walking
1970-01-01 00:00:00.700,5.1239304545,-1.1605189445,0.83614197365,-2.987043023,-2.307857275,-0.35688750819,-0.1875448227,-4.730511904,-4.372374058,5.319830911147015,3.7915695848191246,6.444421683710546,10.59361511449014,3.3931720629999997,3.802269943,7.160409558518751,-0.404504955592125,-0.854947537180625,-0.2546278619975,-0.013670376374999975,-0.6039748873642858,-0.43249058725714284,9.28583199164014,1.2894754840023648,1.4549881513031675,9.65584533207935,walking
1970-01-01 00:00:00.800,9.210721970000002,-1.29451708862,6.1618173125,-5.398133516000001,-3.2259607315000003,-0.23380178583999994,2.247351408,-3.6139285565,0.05627107649999996,11.157112811744561,6.2929588726452454,4.256082047679089,11.229093011280403,4.039566497111111,3.23596027282,7.049454864516667,-0.9593525734152224,-1.1183934476605557,-0.2523138535355555,0.26895734667187504,-0.98021909600625,-0.3713953792875,9.493752082762853,1.8454180827404625,1.8051248883501576,9.830650629768355,walking
1970-01-01 00:00:00.900,10.6268243815,-0.6768697126500001,10.9115705495,-3.583535433,-1.931269944,0.4947099164,1.2211799622,-0.61479258525,6.650374889,15.246308435154441,4.100764282124585,6.7894577535469605,11.76806729587527,4.69829228555,2.844677274273,7.435666433015001,-1.2217708593737,-1.1996810972945,-0.177611476542,0.37475985950833335,-0.9396161503666668,0.4088013171888889,10.069007718002013,2.0709527026788748,2.358939651149802,10.024392296379046,walking
